id,income,gender,age,age_range,political_affiliation,education,ethnicity,marital_status,climate_change,transformers,books,ghosts,spending,choice,shower_pee
1,8000,Female,64,55-64,Democrat,College degree,White,Divorced,Real and Caused by People,1,20,Yes,Too Low,Smart and Sad,Unacceptable
2,68000,Female,56,55-64,Democrat,High school,Black,Single,,0,6,No,Too High,Smart and Sad,Unacceptable
3,46000,Male,63,55-64,Independent,Some college,White,Married,Real but not Caused by People,0,0,No,About Right,Dumb and happy,Acceptable
4,51000,Male,48,45-54,Republican,High school,White,Divorced,Not Real At All,0,1,No,About Right,Dumb and happy,Unacceptable
5,100000,Female,32,25-34,Democrat,Some college,White,Married,Real and Caused by People,1,30,Yes,Too Low,Smart and Sad,Acceptable
6,54000,Female,64,55-64,Democrat,Some college,White,Married,Real and Caused by People,0,15,No,Too Low,Smart and Sad,Unacceptable
7,83000,Male,61,55-64,Independent,College degree,White,Divorced,Real but not Caused by People,0,0,Yes,About Right,Dumb and happy,Unacceptable
8,114000,Female,64,55-64,Republican,College degree,White,Married,Real and Caused by People,2,40,No,,Smart and Sad,Unacceptable
9,90000,Female,64,55-64,Republican,High school,White,Married,Real and Caused by People,0,0,No,About Right,Dumb and happy,Unacceptable
10,5000,Female,68,65+,Democrat,Some college,White,Widowed,Real and Caused by People,0,1,No,Too Low,Smart and Sad,Unacceptable
11,57000,Female,63,55-64,Democrat,College degree,White,Widowed,Real and Caused by People,0,0,No,Too Low,Smart and Sad,Acceptable
12,47000,Female,44,35-44,Independent,High school,White,Married,Real and Caused by People,1,2,Yes,Too High,Dumb and happy,Unacceptable
13,39000,Female,57,55-64,Democrat,College degree,White,Married,Real and Caused by People,0,12,Yes,Too High,Dumb and happy,Unacceptable
14,5000,Female,62,55-64,Democrat,College degree,White,Single,,0,6,No,Too Low,Smart and Sad,Unacceptable
15,84000,Male,62,55-64,Republican,College degree,White,Divorced,Real and Caused by People,1,6,No,Too Low,Dumb and happy,Unacceptable
16,104000,Male,46,45-54,Independent,Graduate degree,White,Married,Real and Caused by People,1,24,No,Too Low,,Unacceptable
17,8000,Female,60,55-64,,Some college,White,Divorced,Real and Caused by People,5,0,Yes,Too Low,Dumb and happy,Unacceptable
18,23000,Female,62,55-64,Democrat,High school,Other,Married,Real but not Caused by People,1,40,No,Too High,Dumb and happy,Acceptable
19,55000,Female,40,35-44,Republican,College degree,White,Married,Not Real At All,0,15,No,Too High,Smart and Sad,Unacceptable
20,80000,Female,48,45-54,Independent,College degree,Latino,Married,Real and Caused by People,2,5,Yes,Too Low,Dumb and happy,Unacceptable
21,194000,Female,54,45-54,Democrat,College degree,White,Married,Real and Caused by People,4,4,Yes,Too Low,Dumb and happy,Unacceptable
22,82000,Male,62,55-64,Republican,College degree,White,Married,Not Real At All,0,0,No,About Right,Dumb and happy,Unacceptable
23,22000,Female,50,45-54,Democrat,High school,White,Married,Real and Caused by People,1,6,Yes,Too Low,Dumb and happy,Acceptable
24,54000,Female,59,55-64,Democrat,Some college,White,Married,Real and Caused by People,1,25,Yes,,Smart and Sad,Unacceptable
25,79000,Female,30,25-34,Independent,College degree,White,Married,Not Real At All,1,5,Yes,,Dumb and happy,Unacceptable
26,5000,Female,60,55-64,Democrat,Some college,Black,Single,Real and Caused by People,3,2,No,,,
27,60000,Male,70,65+,Democrat,College degree,Black,Single,Real but not Caused by People,5,6,No,About Right,,Unacceptable
28,39000,Male,19,18-24,Independent,High school,White,In a relationship,Real and Caused by People,2,3,Yes,Too Low,Dumb and happy,Acceptable
29,58000,Male,61,55-64,Independent,College degree,Black,Separated,Real but not Caused by People,0,0,Yes,About Right,,Unacceptable
30,54000,Female,57,55-64,Democrat,High school,White,Married,Not Real At All,0,0,No,About Right,Smart and Sad,Unacceptable
31,73000,Male,36,35-44,,College degree,White,Married,Real and Caused by People,0,12,No,About Right,,Unacceptable
32,26000,Female,63,55-64,Democrat,High school,White,Widowed,Real and Caused by People,0,5,Yes,Too Low,Smart and Sad,Unacceptable
