"age","gender","roommate","other_sleep","bed_read","bed_study","bed_hw","attention1","bed_internet","bed_tv","bed_eat","bed_friends","bed_videogame","bed_readp","BL_1","BL_2","BL_3","BL_4","BL_5","attention2","BL_6","BL_7","sleepsat1","sleepsat2","sleepsat3","sleepsat4","sleepsat5","sleepsat6","ESS1","ESS2","ESS3","ESS4","ESS5","ESS6","ESS7","ESS8","ESS00","ashs1","ashs2","ashs3","ashs4","ashs5","attention3","ashs6","ashs7","ashs8","ashs9","ashs10","ashs11","ashs12","ashs13","ashs14","ashs15","ashs16","ashs17","attention4","ashs18","ashs19","ashs20","ashs21","ashs22","ashs23","ashs24","ashs26","ashs27","ashs28","attention5","ashs29","ashs30","ashs31","ashs32","ashs33","id","ESS1m1","ESS2m1","ESS3m1","ESS4m1","ESS5m1","ESS6m1","ESS7m1","ESS8m1","ess_total","attention1r","attention2r","attention3r","attention4r","attention5r","att_sum"
19,1,2,1,1,2,2,5,3,4,1,1,2,1,5,5,5,5,1,1,1,1,4,5,4,4,5,4,4,2,1,4,3,1,4,1,2,3,3,1,2,3,4,1,1,5,4,3,4,4,5,6,2,5,5,1,1,3,1,1,1,1,2,3,4,2,1,1,3,1,4,1,17915,3,1,0,3,2,0,3,0,12,1,1,1,1,1,5
18,2,2,2,3,4,5,5,5,5,5,5,5,1,5,5,5,5,5,1,5,5,2,3,4,3,1,1,4,4,1,3,4,1,2,1,1,4,2,5,2,1,4,1,1,2,5,1,6,1,6,6,2,5,6,1,3,1,1,6,2,1,1,4,2,6,1,6,4,4,1,1,17648,3,3,0,2,3,0,1,0,12,1,1,1,1,1,5
21,1,2,2,1,2,2,5,4,2,2,1,1,2,5,5,5,5,2,1,3,4,2,1,4,3,4,2,2,2,2,4,3,1,1,1,2,3,3,4,1,3,4,1,2,3,4,1,4,2,2,6,3,5,5,1,2,2,1,2,2,1,2,5,4,2,1,1,5,2,5,5,17799,1,1,1,3,2,0,0,0,8,1,1,1,1,1,5
18,2,1,3,1,2,4,5,4,2,4,4,5,4,5,5,5,5,4,1,4,3,1,4,2,2,4,5,2,4,3,4,4,1,1,1,4,6,5,4,4,5,4,1,2,2,2,3,4,3,4,5,2,3,3,1,2,4,4,5,1,2,6,6,3,5,1,3,5,1,6,6,18003,1,3,2,3,3,0,0,0,12,1,1,1,1,1,5
18,2,1,4,4,4,4,5,2,3,2,1,1,3,5,5,5,5,1,1,2,5,2,1,1,3,1,1,2,2,1,1,4,1,1,1,2,2,4,2,1,3,4,1,3,1,3,2,5,1,4,5,2,2,4,1,1,2,1,2,1,1,2,6,1,5,1,3,6,1,6,6,17566,1,1,0,0,3,0,0,0,5,1,1,1,1,1,5
18,1,1,2,1,1,1,5,3,2,2,2,1,1,1,1,5,5,4,1,2,5,4,4,3,3,5,4,4,3,3,4,4,1,2,1,3,6,5,1,3,4,4,1,1,1,1,1,2,1,4,3,2,2,2,1,1,2,1,3,2,1,NA,3,3,5,6,1,6,1,6,6,18005,3,2,2,3,3,0,1,0,14,1,1,1,1,0,4
18,1,1,1,1,1,1,5,3,4,1,1,2,2,2,2,2,2,1,1,1,3,3,3,4,4,4,2,2,2,1,3,2,1,1,1,2,2,5,1,1,3,4,1,1,4,4,2,3,1,2,3,2,3,3,1,1,1,1,2,2,1,2,3,3,2,1,2,3,2,4,4,18007,1,1,0,2,1,0,0,0,5,1,1,1,1,1,5
18,2,1,1,1,2,2,5,3,2,2,2,1,1,5,5,4,4,1,1,2,4,4,4,4,4,4,4,3,2,2,2,3,1,2,2,2,3,5,5,1,5,4,1,1,2,3,2,5,2,4,4,2,1,3,1,2,2,1,2,1,1,2,4,6,5,1,1,6,1,6,5,17587,2,1,1,1,2,0,1,1,9,1,1,1,1,1,5
19,2,1,1,2,2,2,5,4,4,2,3,1,1,5,5,5,5,1,1,3,5,3,5,4,5,5,2,2,1,1,3,3,1,1,1,2,3,4,5,2,5,4,1,3,1,4,3,5,3,6,6,6,6,6,1,2,3,1,1,1,1,3,4,4,5,1,3,4,1,6,4,17546,1,0,0,2,2,0,0,0,5,1,1,1,1,1,5
18,1,2,1,1,2,2,5,5,4,1,1,2,1,5,2,5,1,1,1,2,5,2,3,2,2,2,2,1,1,1,1,2,1,1,1,2,1,1,1,1,1,4,1,1,6,1,1,3,1,1,6,4,2,5,1,1,2,1,1,2,1,2,3,5,5,1,2,2,1,6,6,17997,0,0,0,0,1,0,0,0,1,1,1,1,1,1,5
19,2,2,4,2,3,4,5,3,4,2,2,1,1,5,4,2,5,1,1,2,5,4,5,2,4,5,4,3,3,1,2,4,1,1,1,1,2,2,3,2,2,4,1,2,4,2,1,4,2,5,5,2,2,2,1,2,3,1,2,1,1,1,2,5,5,1,1,2,1,5,5,17754,2,2,0,1,3,0,0,0,8,1,1,1,1,1,5
18,2,1,2,2,3,2,5,3,4,2,2,1,1,5,5,2,5,1,1,1,5,4,4,4,2,5,4,2,3,1,2,4,1,1,1,2,1,1,1,1,1,4,1,1,5,2,1,3,2,5,6,2,6,5,1,1,2,1,2,1,1,3,3,6,4,1,4,2,2,5,5,17590,1,2,0,1,3,0,0,0,7,1,1,1,1,1,5
20,1,1,1,2,2,2,5,4,4,1,1,3,4,5,5,5,5,1,1,1,5,5,5,4,4,4,4,1,1,1,1,2,1,1,1,1,2,1,6,1,2,4,1,1,6,4,1,5,3,6,4,2,1,3,1,1,1,1,1,3,3,2,3,4,3,1,4,5,4,3,4,18014,0,0,0,0,1,0,0,0,1,1,1,1,1,1,5
21,2,2,1,1,2,1,5,2,1,1,1,1,1,5,5,2,5,1,1,2,2,5,4,2,5,5,4,2,2,1,3,4,1,2,1,2,2,5,1,1,4,4,1,2,3,2,1,3,1,4,2,2,2,2,1,2,2,1,1,1,1,2,2,5,2,1,2,2,2,3,2,17381,1,1,0,2,3,0,1,0,8,1,1,1,1,1,5
19,2,1,1,1,1,2,5,4,3,2,1,1,2,5,5,5,5,3,1,4,5,2,2,2,4,1,2,3,3,2,2,4,2,2,2,4,2,4,6,2,4,4,3,4,5,2,2,3,3,3,6,2,3,6,1,2,2,1,5,2,2,1,5,4,3,1,4,5,2,6,3,17998,2,2,1,1,3,1,1,1,12,1,1,1,1,1,5
23,1,2,2,2,2,2,5,4,4,2,1,1,2,5,5,5,5,2,1,2,5,4,5,4,4,5,3,4,3,2,2,4,1,2,2,3,5,3,1,4,3,4,1,2,2,3,4,3,2,4,4,1,NA,2,1,1,4,1,2,2,1,1,4,1,6,1,2,4,4,5,5,11918,3,2,1,1,3,0,1,1,12,1,1,1,1,1,5
19,1,2,1,2,2,2,5,3,2,2,1,3,3,4,5,5,5,3,1,2,2,3,4,3,4,5,4,3,1,2,3,3,1,2,2,4,5,6,2,1,5,4,1,1,3,1,2,3,3,1,5,3,5,4,1,1,4,1,3,1,1,1,3,3,2,1,3,1,1,6,6,17743,2,0,1,2,2,0,1,1,9,1,1,1,1,1,5
19,1,2,2,2,2,1,5,4,4,1,1,1,2,5,4,4,5,1,1,2,5,1,3,2,2,4,2,2,2,2,2,3,1,2,1,2,2,2,4,2,1,4,1,1,6,2,1,5,1,6,4,2,2,3,1,1,3,1,2,1,1,1,5,1,3,1,2,4,1,5,6,18018,1,1,1,1,2,0,1,0,7,1,1,1,1,1,5
18,1,2,1,1,1,1,5,2,2,1,1,1,1,3,1,1,1,1,1,1,1,3,2,4,3,4,2,4,1,1,1,1,1,1,1,3,2,1,1,2,1,4,1,1,5,2,1,5,4,1,5,6,6,3,1,1,1,1,1,1,1,1,4,2,1,1,1,1,1,4,4,18016,3,0,0,0,0,0,0,0,3,1,1,1,1,1,5
18,1,1,1,2,2,2,5,2,3,1,4,1,1,5,5,5,5,5,1,5,5,4,2,2,4,2,1,3,1,1,3,4,1,1,1,1,4,3,3,3,3,4,3,1,2,3,2,5,2,5,4,2,4,3,1,2,2,2,4,1,1,3,4,2,6,1,4,4,2,5,5,18002,2,0,0,2,3,0,0,0,7,1,1,1,1,1,5
19,1,1,2,1,1,1,5,4,4,1,1,2,2,5,5,5,5,1,1,2,5,1,1,4,1,3,1,2,1,1,2,3,1,1,1,2,2,3,1,2,1,4,1,1,4,1,1,4,2,5,2,2,1,2,1,1,3,1,1,2,1,3,6,2,2,1,2,5,2,5,5,17924,1,0,0,1,2,0,0,0,4,1,1,1,1,1,5
