ID,Progress,Duration (in seconds),Consent,genderid,genderid_7_TEXT,sex,age,year_school,Q85,Q85_6_TEXT,TIPI_1,TIPI_2,TIPI_3,TIPI_4,TIPI_5,TIPI_6,TIPI_7,TIPI_8,TIPI_9,TIPI_10,Sleep Quality,Hours of Sleep
1001,100,9,2,,,,,,,,,,,,,,,,,,,
1002,100,11,2,,,,,,,,,,,,,,,,,,,
1003,11,18,1,,,,,,,,,,,,,,,,,,,
1004,100,4,2,,,,,,,,,,,,,,,,,,,
1005,11,65,1,,,,,,,,,,,,,,,,,,,
1006,100,1465,1,5,,2,20,2,1,,7,3,6,3,7,2,6,1,6,4,5,7
1007,100,852,1,4,,1,25,4,1,,6,5,4,5,6,6,7,2,7,4,1,7
1008,100,1392,1,5,,2,18,1,1,,2,3,6,5,4,7,5,1,4,1,2,5
1009,100,2361,1,4,,1,21,4,1,,3,2,6,7,6,5,6,2,5,5,3,7
1010,100,927,1,5,,2,21,3,1,,5,5,5,5,6,4,6,1,6,4,5,7
1011,100,1201,1,4,,1,20,3,3,,6,6,5,2,7,4,5,2,6,3,2,7
1012,100,1106,1,4,,1,20,2,1,,7,4,6,7,7,5,7,6,5,1,1,5
1013,100,786,1,4,,1,20,2,1,,7,5,5,7,7,2,7,6,2,1,1,5
1014,100,2559,1,5,,2,18,1,1,,2,4,5,3,6,7,4,2,5,4,5,7
1015,100,1554,1,5,,2,18,1,3,,6,4,5,6,5,6,4,5,3,2,2,5
1016,100,1163,1,5,,2,18,1,1,,3,3,6,3,5,2,5,2,6,2,3,5
1017,100,623,1,5,,2,18,1,1,,5,5,6,3,6,3,5,3,7,2,2,5
1018,100,1420,1,4,,1,21,4,1,,5,5,6,4,5,3,5,4,7,1,2,7
1019,100,1133,1,7,woman,2,24,5,1,,4,4,6,4,6,4,6,4,6,4,3,7
1020,100,148,1,,,,,,,,4,4,4,4,4,4,4,4,4,4,,
1021,100,945,1,4,,1,21,3,1,,3,5,4,3,5,6,5,2,5,2,2,5
1022,100,1335,1,5,,2,18,1,1,,5,5,7,5,5,3,6,2,5,2,2,7
1023,100,1533,1,5,,2,19,1,1,,7,6,6,7,7,4,7,2,3,1,3,7
1024,100,3762,1,5,,2,19,1,1,,6,1,7,5,5,1,7,1,2,3,3,7
1025,100,1297,1,4,,1,18,1,1,,3,5,7,1,7,5,5,1,7,4,2,7
1026,100,1406,1,5,,2,18,1,3,,2,6,7,5,2,6,4,1,4,5,2,7
1027,100,3283,1,5,,2,19,1,1,,7,2,3,7,2,6,7,4,2,5,2,5
