Entity,Code,Year,Schizophrenia disorders (share of population) - Sex: Both - Age: Age-standardized,Depressive disorders (share of population) - Sex: Both - Age: Age-standardized,Anxiety disorders (share of population) - Sex: Both - Age: Age-standardized,Bipolar disorders (share of population) - Sex: Both - Age: Age-standardized,Eating disorders (share of population) - Sex: Both - Age: Age-standardized
Australia,AUS,1990,0.38909754,4.3984447,5.746219,1.1160647,0.7187702
Australia,AUS,1991,0.38887236,4.4271917,5.655439,1.1161371,0.72221917
Australia,AUS,1992,0.38868392,4.4533386,5.569575,1.1162119,0.72482026
Australia,AUS,1993,0.38853744,4.475146,5.4921036,1.1162795,0.72893107
Australia,AUS,1994,0.38843122,4.4959636,5.4266415,1.1163439,0.7317704
Australia,AUS,1995,0.38836062,4.515698,5.3766356,1.1164132,0.7358509
Australia,AUS,1996,0.38833362,4.524212,5.32893,1.116486,0.74315125
Australia,AUS,1997,0.38834938,4.5214906,5.2749786,1.1165645,0.7553975
Australia,AUS,1998,0.38839012,4.5178895,5.224641,1.116632,0.770639
Australia,AUS,1999,0.38843063,4.5207424,5.1880302,1.116689,0.7853584
Australia,AUS,2000,0.38845477,4.5388155,5.175044,1.1167352,0.7977668
Australia,AUS,2001,0.38848075,4.58546,5.215392,1.1176239,0.81825
Australia,AUS,2002,0.38853607,4.65675,5.3088007,1.1196815,0.85325265
Australia,AUS,2003,0.3885987,4.7298746,5.4199343,1.1221255,0.89287037
Australia,AUS,2004,0.3886471,4.790833,5.5135145,1.1241834,0.9279396
Australia,AUS,2005,0.3886707,4.817139,5.5542226,1.1250675,0.9504217
Australia,AUS,2006,0.38865405,4.8088183,5.5622044,1.1250802,0.9611142
Australia,AUS,2007,0.38861,4.7867126,5.5775933,1.125079,0.96978116
Australia,AUS,2008,0.38855332,4.7543907,5.5950637,1.1250721,0.97864956
Australia,AUS,2009,0.38850445,4.7198935,5.6093774,1.125063,0.98612726
Australia,AUS,2010,0.38849422,4.6904297,5.615126,1.1250472,0.9927631
Australia,AUS,2011,0.38851094,4.661994,5.6058693,1.1250392,0.99799436
Australia,AUS,2012,0.3885316,4.630723,5.5849586,1.1250232,1.0032136
Australia,AUS,2013,0.3885528,4.5981283,5.561541,1.1250172,1.0073591
Australia,AUS,2014,0.38856968,4.56489,5.544875,1.1250142,1.0123483
Australia,AUS,2015,0.38857755,4.5340767,5.5441623,1.1250105,1.0158271
Australia,AUS,2016,0.38852575,4.4401946,5.67749,1.12502,1.0205263
Australia,AUS,2017,0.38846922,4.3608074,5.812073,1.1250321,1.0254059
Australia,AUS,2018,0.38851777,4.3602886,5.8207517,1.125041,1.0284127
Australia,AUS,2019,0.3886459,4.382458,5.8151646,1.1250612,1.0316882
Bermuda,BMU,1990,0.29904053,3.5839314,4.249514,0.97752154,0.31344527
Bermuda,BMU,1991,0.2987958,3.5603776,4.244566,0.97755843,0.31386063
Bermuda,BMU,1992,0.29863298,3.539742,4.2404385,0.97761256,0.3138429
Bermuda,BMU,1993,0.29853988,3.5194938,4.23744,0.9776885,0.31433982
Bermuda,BMU,1994,0.29850653,3.5008621,4.2358336,0.9777809,0.31500608
Bermuda,BMU,1995,0.29852423,3.4843924,4.235684,0.9778748,0.31540048
Bermuda,BMU,1996,0.2986783,3.4690933,4.2370143,0.97797036,0.31650546
Bermuda,BMU,1997,0.29900932,3.4540753,4.239189,0.9780621,0.31812686
Bermuda,BMU,1998,0.2994341,3.4365296,4.241557,0.97814775,0.32045764
Bermuda,BMU,1999,0.2998694,3.4242015,4.243573,0.9782297,0.32201022
Bermuda,BMU,2000,0.3002326,3.410847,4.2446923,0.978312,0.3244344
Bermuda,BMU,2001,0.30066368,3.3970041,4.2440867,0.97837985,0.327432
Bermuda,BMU,2002,0.30127555,3.3802178,4.242059,0.9784228,0.33184406
Bermuda,BMU,2003,0.30194005,3.3596137,4.2397666,0.9784591,0.33656418
Bermuda,BMU,2004,0.30253208,3.3404248,4.238169,0.97849005,0.34118673
Bermuda,BMU,2005,0.30292654,3.3189158,4.238181,0.9785153,0.34531936
Bermuda,BMU,2006,0.30321312,3.2919662,4.242779,0.97853833,0.34983492
Bermuda,BMU,2007,0.3035341,3.257081,4.252349,0.97854966,0.35510382
Bermuda,BMU,2008,0.30383822,3.2193425,4.2640104,0.9785473,0.35974297
Bermuda,BMU,2009,0.3040753,3.1907434,4.274867,0.9785272,0.3635923
Bermuda,BMU,2010,0.30419472,3.1746078,4.2820277,0.97848517,0.3653641
Bermuda,BMU,2011,0.30420008,3.170088,4.288908,0.978419,0.36507154
Bermuda,BMU,2012,0.30415237,3.169281,4.299092,0.9783285,0.36509994
Bermuda,BMU,2013,0.30408448,3.1699588,4.309913,0.9782205,0.3639308
Bermuda,BMU,2014,0.30403072,3.1687036,4.3186936,0.9780983,0.36331257
Bermuda,BMU,2015,0.30402562,3.1673129,4.3227673,0.9779642,0.36256772
Bermuda,BMU,2016,0.3042998,3.1614358,4.322983,0.9778197,0.36377046
Bermuda,BMU,2017,0.3046576,3.1568856,4.3228097,0.97766906,0.36555445
Bermuda,BMU,2018,0.30495167,3.1627893,4.324735,0.97751796,0.36615855
Bermuda,BMU,2019,0.30534044,3.177548,4.329229,0.9773684,0.3673627
Canada,CAN,1990,0.28859663,3.2961848,4.43521,0.77616394,0.40690413
Canada,CAN,1991,0.28857455,3.3140678,4.4366374,0.77616173,0.4054281
Canada,CAN,1992,0.28855094,3.331602,4.4363413,0.77616453,0.4047341
Canada,CAN,1993,0.28852758,3.3510926,4.434514,0.77617514,0.40461594
Canada,CAN,1994,0.28850457,3.368164,4.431448,0.7761927,0.40458524
Canada,CAN,1995,0.28848547,3.382865,4.427275,0.77621025,0.40443742
Canada,CAN,1996,0.28847346,3.402566,4.315892,0.7762281,0.4048701
Canada,CAN,1997,0.28846914,3.430521,4.0566773,0.7762438,0.4056903
Canada,CAN,1998,0.28846955,3.4583545,3.7482839,0.776256,0.4063845
Canada,CAN,1999,0.28846854,3.4805262,3.4895754,0.776275,0.4077332
Canada,CAN,2000,0.28846446,3.4845788,3.379351,0.776287,0.40892968
Canada,CAN,2001,0.28845954,3.4643402,3.377236,0.779328,0.4102713
Canada,CAN,2002,0.28845757,3.42046,3.3768122,0.7865573,0.41235426
Canada,CAN,2003,0.28845733,3.3662462,3.3779469,0.795185,0.41470206
Canada,CAN,2004,0.28845638,3.3136568,3.3805294,0.8024229,0.4170584
Canada,CAN,2005,0.2884536,3.27284,3.3843997,0.8054561,0.4183304
Canada,CAN,2006,0.2884438,3.2435834,3.4766712,0.80545866,0.4195083
Canada,CAN,2007,0.28842783,3.2122707,3.6915221,0.80546325,0.42062035
Canada,CAN,2008,0.28841272,3.1835043,3.9494762,0.8054611,0.42179036
Canada,CAN,2009,0.28840503,3.1624403,4.171015,0.80545366,0.42244875
Canada,CAN,2010,0.28840762,3.152781,4.276715,0.8054412,0.42279753
Canada,CAN,2011,0.2884196,3.1614926,4.296102,0.8054201,0.4237151
Canada,CAN,2012,0.28843358,3.186795,4.311892,0.80541104,0.4240799
Canada,CAN,2013,0.28844956,3.2156205,4.3244333,0.805393,0.42440853
Canada,CAN,2014,0.2884684,3.243163,4.3339853,0.8053676,0.42516187
Canada,CAN,2015,0.28848678,3.2546144,4.3409214,0.8053428,0.42588902
Canada,CAN,2016,0.28850484,3.251694,4.3487153,0.8053236,0.42759335
Canada,CAN,2017,0.28852788,3.251631,4.3520355,0.80529726,0.42864105
Canada,CAN,2018,0.28857,3.2626557,4.3420477,0.80527705,0.42866212
Canada,CAN,2019,0.28864193,3.2904658,4.3206058,0.8052512,0.4285759
China,CHN,1990,0.3005529,2.9951873,3.5073087,0.18184233,0.06557196
China,CHN,1991,0.30051428,3.0489435,3.5054348,0.18178067,0.0657725
China,CHN,1992,0.3004707,3.0889468,3.5042803,0.18172215,0.0661204
China,CHN,1993,0.3004508,3.1150663,3.5037587,0.1816821,0.06651115
China,CHN,1994,0.3004744,3.1265838,3.503571,0.18166696,0.06690668
China,CHN,1995,0.3005279,3.1237502,3.5038717,0.18167178,0.067426175
China,CHN,1996,0.3005908,3.0984797,3.5194092,0.18169223,0.06809131
China,CHN,1997,0.30064648,3.0511434,3.555081,0.18172307,0.06883236
China,CHN,1998,0.3007234,2.995563,3.5958219,0.18176816,0.069733776
China,CHN,1999,0.30084023,2.9444454,3.6258426,0.18182719,0.070613615
China,CHN,2000,0.30099076,2.911648,3.6295667,0.18189086,0.07157985
China,CHN,2001,0.3011407,2.896582,3.5881891,0.18195102,0.07275263
China,CHN,2002,0.3012683,2.8878863,3.5092769,0.18200307,0.07414102
China,CHN,2003,0.30140993,2.88216,3.4170053,0.18204872,0.07565596
China,CHN,2004,0.3015909,2.8752093,3.3359005,0.18209197,0.07725651
China,CHN,2005,0.30181783,2.8634007,3.2913,0.18212192,0.07903266
China,CHN,2006,0.30221745,2.83969,3.2791529,0.18214045,0.080781
China,CHN,2007,0.30281124,2.804093,3.2751362,0.1821458,0.082856014
China,CHN,2008,0.30346152,2.7665315,3.2743006,0.18213318,0.08495704
China,CHN,2009,0.30402577,2.7362518,3.2715404,0.18211211,0.08724486
China,CHN,2010,0.30434743,2.721285,3.2622395,0.18207341,0.08956046
China,CHN,2011,0.30424774,2.7213087,3.2354581,0.182025,0.091838524
China,CHN,2012,0.30380702,2.7270303,3.1923788,0.1819709,0.094158985
China,CHN,2013,0.30326563,2.7349577,3.1465228,0.18191536,0.09661374
China,CHN,2014,0.30286062,2.7424161,3.1112425,0.18187092,0.09926376
China,CHN,2015,0.3028187,2.746322,3.1001413,0.1818321,0.10212784
China,CHN,2016,0.30670774,2.743988,3.1556082,0.18180573,0.10640783
China,CHN,2017,0.31065378,2.7405303,3.213697,0.1817923,0.10991693
China,CHN,2018,0.31072184,2.7349718,3.2062707,0.18179223,0.11168088
China,CHN,2019,0.30997753,2.7240157,3.1641822,0.18180744,0.11261842
Denmark,DNK,1990,0.21588139,4.3909826,4.8099895,0.9496143,0.41118437
Denmark,DNK,1991,0.21588486,4.3640523,4.8177924,0.94959,0.41247177
Denmark,DNK,1992,0.21587719,4.328565,4.8247056,0.94957125,0.41322926
Denmark,DNK,1993,0.21586382,4.291394,4.830106,0.9495614,0.4152265
Denmark,DNK,1994,0.21584885,4.24892,4.834162,0.9495659,0.4170566
Denmark,DNK,1995,0.21583435,4.203793,4.836399,0.9495721,0.4190727
