"student_id","condition","study_minutes","sleep_hours","test_anxiety","exam_score"
"S001","Retrieval Practice",90,6.5,33,67
"S002","Retrieval Practice",60,5.7,30,40
"S003","Rereading",82,5.3,42,49
"S004","Rereading",87,6.7,30,52
"S005","Retrieval Practice",58,7.5,27,55
"S006","Retrieval Practice",105,6.8,34,47
"S007","Retrieval Practice",110,7.3,10,69
"S008","Rereading",94,5.9,15,65
"S009","Rereading",129,6.2,31,60
"S010","Rereading",92,6.5,46,53
"S011","Rereading",75,5,27,55
"S012","Rereading",98,6.6,23,55
"S013","Rereading",74,6.2,28,44
"S014","Retrieval Practice",63,6.4,41,67
"S015","Retrieval Practice",84,7.6,36,59
"S016","Rereading",58,6.4,38,41
"S017","Retrieval Practice",124,6.3,30,58
"S018","Retrieval Practice",77,6.7,36,72
"S019","Rereading",93,6.5,40,42
"S020","Rereading",68,6.1,50,43
"S021","Rereading",98,6.2,22,67
"S022","Rereading",135,5.9,28,74
"S023","Retrieval Practice",107,7.2,29,68
"S024","Rereading",137,7,26,80
"S025","Rereading",95,4.6,21,55
"S026","Retrieval Practice",64,6.9,28,60
"S027","Rereading",54,7.4,26,41
"S028","Retrieval Practice",93,6.7,34,72
"S029","Rereading",63,7.4,22,67
"S030","Rereading",80,7.9,26,53
"S031","Retrieval Practice",98,8,30,75
"S032","Rereading",106,4.7,23,72
"S033","Retrieval Practice",118,6.6,30,77
"S034","Retrieval Practice",62,5.8,34,52
"S035","Retrieval Practice",68,6.9,29,59
"S036","Retrieval Practice",69,6.5,35,54
"S037","Retrieval Practice",90,6.4,21,47
"S038","Retrieval Practice",105,8.1,41,49
"S039","Retrieval Practice",53,4.8,27,72
"S040","Rereading",121,7.7,34,57
"S041","Retrieval Practice",93,6.8,29,68
"S042","Rereading",113,6.6,31,51
"S043","Retrieval Practice",91,8,38,73
"S044","Rereading",78,7,24,49
"S045","Retrieval Practice",54,7.5,26,57
"S046","Retrieval Practice",82,7.1,26,69
"S047","Rereading",103,7.5,21,73
"S048","Retrieval Practice",66,6.3,36,53
"S049","Rereading",123,8.2,17,74
"S050","Retrieval Practice",99,8.3,33,54
"S051","Retrieval Practice",96,7.4,22,68
"S052","Retrieval Practice",74,5.8,22,52
"S053","Retrieval Practice",69,5.1,30,49
"S054","Rereading",96,7.3,43,59
"S055","Rereading",107,7.1,39,55
"S056","Retrieval Practice",89,6.8,22,68
"S057","Rereading",71,6.7,31,48
"S058","Retrieval Practice",96,6.2,30,60
"S059","Rereading",104,7.7,18,67
"S060","Rereading",42,7,24,46
"S061","Rereading",108,9.6,26,66
"S062","Retrieval Practice",100,7.7,41,63
"S063","Rereading",92,7.5,25,79
"S064","Retrieval Practice",53,6.1,39,53
"S065","Rereading",108,6.6,23,59
"S066","Retrieval Practice",120,6,42,72
"S067","Retrieval Practice",118,5.2,22,70
"S068","Retrieval Practice",99,5.7,25,69
"S069","Rereading",90,6.5,35,62
"S070","Retrieval Practice",86,5.7,34,53
"S071","Rereading",90,7.6,39,43
"S072","Rereading",80,7.9,15,64
"S073","Retrieval Practice",59,6,38,59
"S074","Retrieval Practice",75,6.2,26,66
"S075","Rereading",113,5,29,61
"S076","Rereading",106,5.4,21,61
"S077","Rereading",109,4.8,20,55
"S078","Retrieval Practice",115,6.4,35,73
"S079","Rereading",87,8.2,32,56
"S080","Retrieval Practice",97,6.3,27,65
"S081","Rereading",86,7.8,26,51
"S082","Rereading",131,6.5,37,55
"S083","Retrieval Practice",102,6.5,41,65
"S084","Rereading",99,7.1,41,53
"S085","Rereading",107,4.8,37,62
"S086","Rereading",103,7.5,38,65
"S087","Retrieval Practice",117,5.1,34,54
"S088","Rereading",115,5.3,36,50
"S089","Rereading",93,6.8,19,37
"S090","Retrieval Practice",97,7.1,33,84
"S091","Rereading",93,7.3,24,58
"S092","Retrieval Practice",57,5.7,26,57
"S093","Retrieval Practice",51,5,46,46
"S094","Rereading",77,7.6,24,52
"S095","Retrieval Practice",76,6.8,21,55
"S096","Retrieval Practice",146,6.2,29,79
"S097","Rereading",48,6.5,32,59
"S098","Rereading",122,5.1,42,57
"S099","Retrieval Practice",48,9,37,57
"S100","Retrieval Practice",107,8.5,32,73
"S101","Rereading",74,7.1,39,62
"S102","Retrieval Practice",65,7.4,39,55
"S103","Retrieval Practice",71,5.8,32,65
"S104","Rereading",127,7.1,32,68
"S105","Rereading",124,8,20,75
"S106","Retrieval Practice",93,6.9,15,74
"S107","Retrieval Practice",90,7.2,30,65
"S108","Rereading",62,7.1,35,40
"S109","Retrieval Practice",56,7.1,32,55
"S110","Retrieval Practice",69,4.2,31,70
"S111","Retrieval Practice",122,6.8,27,64
"S112","Retrieval Practice",92,7.3,27,65
"S113","Rereading",102,6.4,32,52
"S114","Rereading",71,8.2,25,61
"S115","Retrieval Practice",91,8.6,34,65
"S116","Rereading",109,6.7,44,59
"S117","Retrieval Practice",42,8.1,23,78
"S118","Rereading",101,7.6,32,61
"S119","Rereading",111,7.2,32,60
"S120","Rereading",40,6.9,26,36
