"StartDate","EndDate","Status","Progress","Duration__in_seconds_","Finished","RecordedDate","DistributionChannel","UserLanguage","Q5","Q7","Q8","Q12","Q13_1","Q13_2","Q13_3","Q13_4","Q13_5","Q13_6","Q13_7","Q13_8","Q13_9","Q13_10","Q14_1","Q14_2","Q14_3","Q14_4","Q14_5","Q14_6","Q14_7","Q14_8","Q11_1","Q11_2","Q11_3","Q11_4","Q11_5","Q11_6","Q17_1","Q17_2","Q17_3","Q17_4","Q18_1","Q18_2","Q18_3","Q18_4","Q18_5","Q20_1","Q20_2","Q21_1","Q21_2","Q21_3","Q21_4","Q21_5","Q21_6","Q22_1","Q22_2","Q22_3","Q22_4","Q22_5","Q23_1","Q23_2","Q23_3","Q23_4","Q23_5","Q23_6","Q23_7","Q23_8","Q24_1","Q24_2","Q24_3","Q24_4","Q24_5","Q25_1","Q25_2","Q25_3","Q25_4","Q25_5","Q26_1","Q26_2","Q27_1","Q27_2","SC0","SC1","SC2","SC3","SC4","SC5","id","Attention"
2017-08-16 13:13:06,2017-08-16 13:15:13,0,100,126,1,2017-08-16 13:15:14,"anonymous","EN",12,2,2,3,2,2,2,NA,2,2,2,2,2,2,2,2,2,2,2,NA,2,2,2,3,3,4,4,3,2,3,3,2,2,2,2,3,1,1,2,4,3,3,NA,5,3,3,2,1,2,3,4,5,3,3,2,NA,3,3,3,3,3,3,3,3,3,3,NA,4,3,3,3,3,19,11,19,14,82,0,"15516",""
2017-08-16 13:17:16,2017-08-16 13:19:03,0,100,106,1,2017-08-16 13:19:03,"anonymous","EN",1,2,2,1,1,1,1,NA,2,3,2,3,2,3,4,2,4,4,4,NA,4,4,4,4,4,4,4,4,2,2,1,2,3,1,1,1,1,2,3,5,4,4,NA,2,2,2,3,4,5,5,5,5,4,3,3,NA,3,3,3,3,2,2,1,1,2,1,NA,1,1,1,1,1,24,5,24,26,79,0,"15516",""
2017-11-27 16:59:07,2017-11-27 17:07:27,0,100,499,1,2017-11-27 17:07:27,"anonymous","EN",19,1,2,1,1,2,2,5,3,4,1,1,2,1,5,5,5,5,1,1,1,1,4,5,4,4,5,4,4,2,1,4,3,1,4,1,2,3,3,1,2,3,4,1,1,5,4,3,4,4,5,6,2,5,5,1,1,3,1,1,1,1,2,3,4,2,1,1,3,1,4,1,26,13,26,23,70,0,"17915",""
2017-11-27 18:57:16,2017-11-27 19:13:00,0,100,943,1,2017-11-27 19:13:00,"anonymous","EN",18,2,2,2,3,4,5,5,5,5,5,5,5,1,5,5,5,5,5,1,5,5,2,3,4,3,1,1,4,4,1,3,4,1,2,1,1,4,2,5,2,1,4,1,1,2,5,1,6,1,6,6,2,5,6,1,3,1,1,6,2,1,1,4,2,6,1,6,4,4,1,1,14,12,14,35,89,0,"17648",""
2017-11-27 18:54:35,2017-11-27 19:14:12,0,100,1177,1,2017-11-27 19:14:13,"anonymous","EN",21,1,2,2,1,2,2,5,4,2,2,1,1,2,5,5,5,5,2,1,3,4,2,1,4,3,4,2,2,2,2,4,3,1,1,1,2,3,3,4,1,3,4,1,2,3,4,1,4,2,2,6,3,5,5,1,2,2,1,2,2,1,2,5,4,2,1,1,5,2,5,5,16,9,16,29,76,0,"17799",""
2017-11-27 19:41:14,2017-11-27 19:46:48,0,100,333,1,2017-11-27 19:46:48,"anonymous","EN",18,2,1,3,1,2,4,5,4,2,4,4,5,4,5,5,5,5,4,1,4,3,1,4,2,2,4,5,2,4,3,4,4,1,1,1,4,6,5,4,4,5,4,1,2,2,2,3,4,3,4,5,2,3,3,1,2,4,4,5,1,2,6,6,3,5,1,3,5,1,6,6,18,15,18,31,99,0,"18003",""
2017-11-28 00:01:46,2017-11-28 00:09:21,0,100,455,1,2017-11-28 00:09:22,"anonymous","EN",18,2,1,4,4,4,4,5,2,3,2,1,1,3,5,5,5,5,1,1,2,5,2,1,1,3,1,1,2,2,1,1,4,1,1,1,2,2,4,2,1,3,4,1,3,1,3,2,5,1,4,5,2,2,4,1,1,2,1,2,1,1,2,6,1,5,1,3,6,1,6,6,9,6,9,28,79,0,"17566",""
2017-11-28 05:47:29,2017-11-28 05:54:28,0,100,419,1,2017-11-28 05:54:29,"anonymous","EN",18,1,1,2,1,1,1,5,3,2,2,2,1,1,1,1,5,5,4,1,2,5,4,4,3,3,5,4,4,3,3,4,4,1,2,1,3,6,5,1,3,4,4,1,1,1,1,1,2,1,4,3,2,2,2,1,1,2,1,3,2,1,NA,3,3,5,6,1,6,1,6,6,23,16,23,23,68,1,"18005",""
2017-11-28 11:53:40,2017-11-28 12:05:43,0,100,723,1,2017-11-28 12:05:44,"anonymous","EN",18,1,1,1,1,1,1,5,3,4,1,1,2,2,2,2,2,2,1,1,1,3,3,3,4,4,4,2,2,2,1,3,2,1,1,1,2,2,5,1,1,3,4,1,1,4,4,2,3,1,2,3,2,3,3,1,1,1,1,2,2,1,2,3,3,2,1,2,3,2,4,4,20,6,20,13,58,0,"18007",""
2017-11-28 14:04:56,2017-11-28 14:15:17,0,100,620,1,2017-11-28 14:15:17,"anonymous","EN",18,2,1,1,1,2,2,5,3,2,2,2,1,1,5,5,4,4,1,1,2,4,4,4,4,4,4,4,3,2,2,2,3,1,2,2,2,3,5,5,1,5,4,1,1,2,3,2,5,2,4,4,2,1,3,1,2,2,1,2,1,1,2,4,6,5,1,1,6,1,6,5,24,10,24,25,72,0,"17587",""
